cust_id,income_yearly,debt_ratio,credit_rating,amount_requested,interest_pct,gender_type,family_status,edu_bg,job_status,loan_reason,internal_grade,is_repaid
1,25237.72,0.081,627.0,15102.96,11.6,Male,Married,High School,Employed,Other,D5,1.0
2,,0.09,,9142.7,12.56,Female,Single,,,Education,C5,1.0
3,,ERR_VAL,,14339.19,11.96,Female,Single,,,Debt consolidation,D1,1.0
4,,ERR_VAL,,18223.63,15.81,Female,Married,,,Debt consolidation,C3,1.0
5,59854.09,0.102,724.0,20284.33,12.42,Female,Single,Bachelor's,Employed,Debt consolidation,C3,1.0
6,39480.85,0.07,549.0,28771.9,16.53,Female,Married,Bachelor's,Employed,Medical,F4,1.0
7,17320.22,0.066,571.0,24688.42,12.31,Male,Single,Bachelor's,Employed,Home,F4,1.0
8,48199.43,0.102,588.0,18489.62,11.97,Male,Married,Master's,Retired,Debt consolidation,E2,1.0
9,10296.97,0.225,676.0,13576.09,12.46,Male,Single,Master's,Unemployed,Other,C3,0.0
10,63772.61,0.063,671.0,19247.65,10.68,Male,Married,Other,Employed,Home,C4,1.0
11,68570.55,0.332,695.0,2542.4,13.98,Male,Married,High School,Self-employed,Debt consolidation,C2,0.0
12,56676.18,0.105,719.0,25194.72,10.69,Male,Single,High School,Employed,Debt consolidation,C2,1.0
13,26304.45,0.061,575.0,21461.19,16.6,Female,Married,High School,Unemployed,Home,F1,0.0
14,14863.58,0.251,658.0,34164.74,9.39,Male,Married,Bachelor's,Employed,Debt consolidation,D5,1.0
15,72214.68,0.225,653.0,17482.9,16.03,Male,Single,High School,Retired,Other,D4,1.0
16,,0.099,,14346.89,13.6,Male,Single,,,Debt consolidation,C4,1.0
17,16807.36,0.291,605.0,26291.61,17.55,Female,Single,Bachelor's,Self-employed,Car,E1,0.0
18,17241.87,0.067,627.0,35319.8,16.26,Male,Single,Bachelor's,Self-employed,Other,D5,1.0
19,51647.34,0.112,685.0,5442.73,14.78,Male,Divorced,High School,Employed,Home,C5,1.0
20,18112.8,0.097,674.0,8585.0,11.45,Female,Married,High School,Employed,Debt consolidation,C5,0.0
21,29803.85,0.066,631.0,18816.58,13.36,Female,Married,Bachelor's,Unemployed,Home,D2,0.0
22,9158.87,0.037,723.0,13226.03,9.98,Male,Single,High School,Unemployed,Business,C5,0.0
23,22535.56,0.183,722.0,8797.26,11.7,Male,Married,Bachelor's,Employed,Education,C1,1.0
24,56959.37,0.102,636.0,18302.59,10.6,Male,Single,High School,Student,Home,D4,0.0
25,44137.16,0.129,673.0,23458.63,10.2,Female,Single,Master's,Employed,Vacation,C3,1.0
26,73095.21,0.07,784.0,13551.18,9.16,Male,Married,Bachelor's,Employed,Other,B3,1.0
27,53967.13,0.155,655.0,12956.1,13.33,Female,Married,Bachelor's,Employed,Other,D5,1.0
28,53817.44,0.058,736.0,15300.75,12.23,Male,Married,Master's,Employed,Debt consolidation,C1,1.0
29,46612.32,0.13,736.0,16981.79,11.68,Male,Married,Master's,Self-employed,Other,C3,1.0
30,35659.22,0.189,690.0,10649.04,12.42,Female,Married,Bachelor's,Employed,Debt consolidation,C3,0.0
31,67710.9,0.092,631.0,18136.58,14.12,Male,Single,Bachelor's,Employed,Debt consolidation,D5,1.0
32,17659.41,0.074,583.0,32052.41,12.34,Female,Single,High School,Unemployed,Car,E3,0.0
33,13131.34,0.207,605.0,14192.31,9.12,Female,Single,Bachelor's,Employed,Debt consolidation,E3,0.0
34,18000.62,0.295,721.0,9076.96,11.14,Female,Married,Other,Unemployed,Other,C1,0.0
35,55819.95,0.096,576.0,23579.06,11.11,Female,Single,High School,Employed,Debt consolidation,F5,0.0
36,53739.79,0.074,605.0,17471.44,11.59,Male,Single,Other,Employed,Debt consolidation,E1,1.0
37,73624.61,0.052,686.0,26291.61,12.8,Female,Single,Bachelor's,Employed,Debt consolidation,C3,1.0
38,,0.254,,24296.12,13.86,Female,Married,,,Home,E3,1.0
39,56959.39,0.1,668.0,15001.69,13.01,Male,Married,Bachelor's,Employed,Debt consolidation,D4,1.0
40,21315.3,0.18,742.0,12993.28,11.77,Male,Single,High School,Employed,Other,B4,1.0
41,52284.91,0.067,690.0,10669.1,9.36,Male,Single,Bachelor's,Employed,Debt consolidation,C2,1.0
42,,ERR_VAL,,16056.03,9.69,Male,Single,,,Home,A2,1.0
43,51384.89,0.12,674.0,14282.2,13.34,Male,Married,Bachelor's,Unemployed,Home,C2,0.0
44,26279.44,0.085,725.0,17051.01,11.16,Female,Married,High School,Self-employed,Home,C4,1.0
45,8668.31,0.074,676.0,12862.19,14.58,Male,Single,High School,Employed,Car,C5,1.0
46,24348.13,0.066,733.0,17101.25,12.25,Male,Single,Bachelor's,Employed,Debt consolidation,C2,1.0
47,16071.79,0.037,626.0,22814.04,13.5,Female,Single,High School,Employed,Medical,D2,1.0
48,28014.38,0.167,664.0,15594.25,15.5,Female,Married,High School,Employed,Debt consolidation,D2,0.0
49,51472.87,0.093,714.0,17272.13,10.72,Female,Single,Bachelor's,Student,Other,C3,0.0
50,17082.31,0.079,704.0,17053.01,11.6,Female,Single,Master's,Employed,Business,C5,1.0
51,,0.074,,18168.55,11.81,Female,Married,,,Debt consolidation,B1,1.0
52,61533.82,0.092,704.0,23791.97,12.83,Male,Married,Bachelor's,Employed,Other,C2,0.0
53,81462.1,0.099,623.0,8993.43,13.88,Female,Married,Other,Employed,Car,D4,0.0
54,58972.68,0.071,755.0,1676.68,9.31,Male,Single,Bachelor's,Employed,Business,B5,1.0
55,35121.04,0.071,764.0,18194.92,8.94,Female,Single,Bachelor's,Employed,Debt consolidation,B5,1.0
56,,0.066,,2853.44,14.72,Female,Divorced,,,Debt consolidation,C4,1.0
57,128943.07,0.099,791.0,17644.02,10.82,Female,Single,High School,Employed,Debt consolidation,B5,1.0
58,38352.57,0.238,719.0,20451.97,10.63,Female,Single,Bachelor's,Employed,Education,C5,1.0
59,29882.97,0.034,708.0,22568.01,11.59,Female,Married,Bachelor's,Employed,Debt consolidation,C4,1.0
60,,0.095,,18677.82,11.94,Female,Single,,,Car,D2,0.0
61,48759.11,0.085,645.0,13689.35,13.19,Male,Single,Bachelor's,Employed,Education,D2,1.0
62,17405.09,0.099,641.0,1340.71,11.99,Male,Widowed,Bachelor's,Employed,Debt consolidation,D3,1.0
63,17091.15,0.107,644.0,20777.19,12.98,Female,Single,Master's,Employed,Home,D2,1.0
64,90173.47,0.321,703.0,17331.88,8.13,Male,Married,High School,Employed,Medical,C1,1.0
65,119248.56,0.241,609.0,28292.27,14.14,Male,Married,Bachelor's,Employed,Vacation,E3,1.0
66,29720.99,0.289,667.0,9984.6,11.88,Female,Married,High School,Unemployed,Other,D2,0.0
67,53482.01,0.18,638.0,3513.28,13.23,Male,Married,High School,Employed,Debt consolidation,D3,1.0
68,109989.26,0.246,679.0,24277.88,9.56,Female,Single,Master's,Employed,Debt consolidation,C4,1.0
69,25602.95,0.054,678.0,10930.05,11.3,Female,Married,Master's,Employed,Debt consolidation,C5,1.0
70,43791.86,0.135,679.0,12450.64,13.72,Female,Married,Bachelor's,Employed,Debt consolidation,C2,1.0
71,30351.17,0.113,729.0,18785.91,13.02,Female,Single,Bachelor's,Employed,Debt consolidation,C5,1.0
72,55438.57,0.111,669.0,17609.69,12.83,Female,Married,High School,Employed,Home,D2,1.0
73,54493.37,0.125,563.0,16427.42,15.49,Female,Married,Bachelor's,Unemployed,Debt consolidation,F2,0.0
74,54943.39,0.077,589.0,20953.2,17.8,Female,Single,High School,Employed,Other,E3,0.0
75,94828.87,0.206,719.0,32004.0,13.36,Female,Single,High School,Employed,Debt consolidation,C2,1.0
76,24782.43,0.113,648.0,11917.5,11.82,Female,Single,Bachelor's,Employed,Debt consolidation,D5,0.0
77,26380.88,0.147,649.0,14792.51,10.9,Male,Single,Bachelor's,Employed,Debt consolidation,D5,1.0
78,,ERR_VAL,,24116.84,10.9,Female,Married,,,Debt consolidation,C4,1.0
79,24169.12,0.068,642.0,15254.9,10.74,Female,Single,Bachelor's,Employed,Debt consolidation,D1,1.0
80,14441.01,0.076,729.0,15119.22,12.5,Male,Married,Master's,Employed,Car,C3,1.0
81,46662.36,0.069,603.0,16300.27,14.94,Female,Single,Bachelor's,Employed,Debt consolidation,E3,1.0
82,13389.22,0.141,639.0,18691.96,11.24,Female,Single,Bachelor's,Employed,Debt consolidation,D2,1.0
83,24123.96,0.046,644.0,24136.02,13.98,Male,Married,Bachelor's,Employed,Debt consolidation,D1,1.0
84,49103.75,0.072,671.0,19467.81,11.63,Male,Married,Bachelor's,Employed,Debt consolidation,C2,1.0
85,25961.39,0.052,587.0,25446.12,16.33,Male,Single,Bachelor's,Employed,Debt consolidation,E3,1.0
